time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp,apogee1,apogee2,apogee3,apogee4,flightStage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43336E+12,9.80099,-0.799202,1.14377,0.013439,-0.00397062,0.00412334,-7.61473,-17.1441,-3.96083,8.04663,1021.71,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43343E+12,9.82971,-0.832702,0.803988,0.00290161,-0.00442877,0.00320704,-7.9655,-16.9395,-4.1216,8.21567,1021.79,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43349E+12,9.82492,-0.866201,0.904486,0.0111483,0.00519235,0.00106901,-8.08243,-17.1441,-4.34083,8.21567,1021.8,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43356E+12,9.78664,-0.803988,1.17248,0.00855211,0.00137445,-0.000305433,-7.8632,-17.0126,-4.16545,8.21567,1021.82,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43363E+12,9.81535,-0.794416,0.995414,0.0128282,-0.00458149,-0.000305433,-7.70243,-16.5595,-4.5893,8.21567,1021.71,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43369E+12,9.80578,-0.789631,0.937986,0.0161879,-0.00488692,0.00106901,-7.54165,-16.8079,-5.07162,8.55371,1021.85,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43375E+12,9.80099,-0.818345,0.899701,0.00152716,0.00106901,0.0018326,-7.52704,-16.881,-4.15083,8.55371,1021.82,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43382E+12,9.81535,-0.803988,0.952343,0.0065668,0.0065668,0.00274889,-7.80473,-16.5741,-4.50161,7.45508,1021.8,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43389E+12,9.79621,-0.866201,1.02891,0.00901026,0.00335976,0.00229074,-7.87781,-16.6764,-4.09237,8.74384,1021.86,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43395E+12,9.82014,-0.847059,1.02891,0.00855211,0.00442877,-0.00106901,-7.51242,-16.5156,-4.63315,9.08188,1021.86,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43402E+12,9.81535,-0.813559,1.14377,0.0120646,-0.00244346,-0.00259618,-7.79012,-17.0418,-4.70623,8.55371,1021.83,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43408E+12,9.78185,-0.751346,1.02891,0.0171042,-0.00198531,-0.00122173,-7.7755,-16.5595,-4.60392,8.40579,1021.77,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43415E+12,9.78664,-0.784845,1.1007,0.0065668,-0.00320704,0.00152716,-8.11166,-16.6764,-4.60392,8.49033,1021.76,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43421E+12,9.79621,-0.784845,1.22991,0.00610865,-0.0171042,0.00503964,-7.76089,-16.6472,-4.50161,8.04663,1021.83,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43428E+12,9.84885,-0.808774,0.708275,0.00687223,-0.0174097,0.00671952,-8.02397,-16.8079,-4.67699,7.87762,1021.9,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43434E+12,9.84407,-0.918843,0.512064,-0.00473421,-0.00167988,0.00503964,-8.25782,-16.2233,-4.13622,8.49033,1021.82,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43441E+12,9.8345,-0.794416,0.914058,0.0018326,0.0114537,0.00351247,-8.06781,-16.4864,-4.19468,8.49033,1021.83,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43448E+12,9.7675,-0.923629,1.12941,0.0233656,0.00610865,-0.00137445,-8.36013,-16.8226,-4.37007,8.40579,1021.86,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43454E+12,9.78664,-0.837487,1.01934,-0.00351247,-0.00167988,-0.00397062,-8.18474,-17.0418,-3.94621,7.70859,1021.82,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4346E+12,9.82971,-0.732203,0.942772,0.0290161,0.00320704,-0.00366519,-8.30167,-16.5449,-4.42853,9.27203,1021.86,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43467E+12,9.82971,-0.808774,0.909272,0.0131336,0.00320704,0.000152716,-7.90704,-16.8372,-4.867,8.55371,1021.82,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43474E+12,9.8345,-0.650847,1.22991,-0.00122173,0.00229074,0.00381791,-8.11166,-16.1795,-4.13622,8.82837,1021.82,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4348E+12,9.78664,-0.82313,1.19162,0.0135917,-0.0149662,0.00610865,-8.15551,-16.4572,-4.28237,8.82837,1021.75,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43486E+12,9.79142,-0.851844,0.89013,-0.0106901,-0.0210748,0.00610865,-8.17012,-16.5156,-4.32622,8.55371,1021.83,28.3223,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43493E+12,9.8345,-0.866201,0.827916,0.0308487,-0.00977384,0.00381791,-8.18474,-16.7056,-4.07775,9.08188,1021.9,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.435E+12,9.81057,-0.990628,0.808774,-0.00717767,0.00290161,-0.00122173,-8.12627,-16.691,-4.16545,8.32129,1021.74,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43506E+12,9.78185,-0.732203,1.11027,-0.0065668,0.00412334,-0.00167988,-8.19935,-16.6472,-4.19468,8.82837,1021.75,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43513E+12,9.79142,-0.794416,1.25384,0.0374155,-0.00213803,-0.000458149,-8.31628,-16.691,-3.88775,8.40579,1021.84,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43519E+12,9.81535,-0.808774,0.971485,-0.0151189,-0.00763582,0.000763581,-8.33089,-16.4864,-4.15083,8.74384,1021.88,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43526E+12,9.81057,-0.732203,0.894915,0.0270308,-0.00442877,0.00351247,-8.19935,-16.6472,-3.96083,8.74384,1021.92,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43532E+12,9.81535,-0.861416,0.904486,-0.0116064,0.00167988,0.00305432,-8.53551,-16.881,-4.01929,7.87762,1021.91,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43539E+12,9.80578,-0.770488,1.07677,-0.00916297,0.00397062,0.00305432,-8.36013,-16.5303,-3.24467,8.32129,1021.84,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43545E+12,9.80578,-0.861416,1.15334,0.0151189,-0.00229074,0.00152716,-8.63783,-16.2818,-2.93774,9.08188,1021.87,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43552E+12,9.79621,-0.870987,0.985843,-0.00549779,-0.00687223,-0.000763581,-8.55013,-17.1003,-3.1862,8.32129,1021.83,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43558E+12,9.81535,-0.775274,0.937986,0.0261145,-0.00641408,-0.000458149,-8.60859,-17.2026,-3.6539,8.74384,1021.88,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
