time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp
3097235015878,-4.82871,3.4648,-3.4648,5.0036,-0.68646,0.130725,-9.19322,-51.0085,13.1248,169.334,1002.37,30.4361
3097309783938,-4.666,3.05324,-3.19681,5.0036,-0.67974,0.210443,-9.09091,-37.5036,22.3034,173.708,1001.95,30.4361
3097384643566,-4.47458,3.37388,-2.87139,5.0036,-0.608727,0.204793,-8.06781,-22.9757,15.6533,177.933,1001.44,30.4271
3097459411627,-4.36451,3.01495,-3.56052,5.0036,-0.593914,0.168446,-7.51242,-15.9749,-3.58082,182.074,1000.98,30.4361
3097538940441,-4.12522,2.68953,-3.20638,5.0036,-0.611781,0.211665,-6.85472,-22.9319,-20.3888,186.374,1000.4,30.4361
3097613739020,-3.92423,2.56989,-2.87139,5.0036,-0.585361,0.262519,-7.1178,-37.299,-24.4519,189.818,999.979,30.4227
3097688568116,-3.81894,2.66082,-2.9336,5.0036,-0.527329,0.260229,-7.67319,-49.2254,-15.4925,195.089,999.393,30.4361
3097763397226,-3.68973,2.32104,-2.99581,5.0036,-0.516639,0.208916,-8.91552,-53.2008,2.89389,198.268,998.965,30.4361
3097842834473,-3.5988,2.27797,-2.93839,5.0036,-0.544586,0.21197,-9.28091,-46.3753,17.9187,202.494,998.556,30.4271
3097917724619,-3.45523,2.10568,-2.7326,5.0036,-0.535729,0.249844,-9.07629,-31.9497,22.1134,205.748,998.137,30.4361
3097992584234,-3.24467,1.97168,-2.54596,5.0036,-0.478765,0.266337,-8.19935,-20.5788,12.6717,209.973,997.76,30.4361
3098067382812,-3.17288,1.84726,-2.50289,5.0036,-0.439212,0.242972,-7.19088,-16.3549,-4.15083,213.776,997.332,30.4361
3098146911627,-3.04845,1.74197,-2.26839,5.0036,-0.442419,0.216094,-6.59164,-21.3242,-19.6726,217.473,996.714,30.4271
3098221679687,-2.90489,1.67497,-2.22054,5.0036,-0.440128,0.213803,-6.81087,-33.6013,-25.8696,220.304,996.369,30.4361
3098296478279,-2.81396,1.63669,-2.12483,5.0036,-0.433562,0.219759,-7.45396,-45.133,-21.0757,224.181,995.96,30.4361
3098394653322,-2.68475,1.58405,-1.88554,5.0036,-0.426536,0.202196,-8.69629,-54.0777,-3.33236,228.861,995.439,30.4271
3098474243172,-2.54118,1.51705,-1.79462,5.0036,-0.421955,0.202349,-9.1786,-50.8623,12.9494,233.023,995.007,30.4361
3098549011233,-2.44068,1.35912,-1.69412,5.0036,-0.395077,0.191659,-9.12014,-42.6483,21.1049,234.27,994.621,30.4405
3098622772226,-2.38325,1.44526,-1.97647,5.0036,-0.403324,0.184939,-9.20783,-31.5112,21.5726,238.157,994.276,30.4405
3098702301027,-2.25404,1.1677,-1.69412,5.0036,-0.410807,0.209069,-7.79012,-20.3888,12.9348,240.904,993.742,30.4361
3098777099619,-2.15832,1.09591,-1.34955,5.0036,-0.388205,0.218384,-7.16165,-16.2233,0.321543,244.876,993.553,30.4361
3098851928716,-2.04825,1.17727,-1.36391,5.0036,-0.348651,0.206625,-6.62087,-18.2841,-14.1625,248.33,993.114,30.4361
3098926635754,-1.9334,1.28255,-1.31605,5.0036,-0.328035,0.184939,-6.48933,-25.5042,-23.1365,250.105,992.654,30.4316
3099006164555,-1.91426,1.15813,-1.41176,5.0036,-0.329714,0.135154,-6.75241,-37.3867,-25.6796,254.7,992.454,30.4361
3099080902111,-1.8329,1.24427,-1.27777,5.0036,-0.350636,0.11805,-6.82549,-47.033,-21.0172,256.401,992.035,30.4405
3099155792243,-1.72283,1.05284,-1.21077,5.0036,-0.364076,0.121409,-7.48319,-53.8439,-9.00321,260.373,991.858,30.4271
3099230529786,-1.64626,0.981057,-1.08155,5.0036,-0.359341,0.124769,-8.30167,-54.867,4.15083,262.94,991.44,30.4271
3099310119636,-1.58405,0.875773,-1.11984,5.0036,-0.342237,0.143248,-8.76936,-49.2254,16.6179,265.507,991.147,30.4316
3099384887697,-1.48833,0.9332,-0.981057,5.0036,-0.3317,0.160199,-8.25782,-42.0345,22.4057,267.63,990.779,30.4316
3099459747325,-1.44048,0.765703,-0.985843,5.0036,-0.306502,0.148135,-7.90704,-31.0582,22.4057,270.82,990.519,30.4316
3099539184572,-1.35434,0.674776,-0.66999,5.0036,-0.286648,0.158061,-7.71704,-22.4642,16.0187,272.87,990.184,30.4271
3099614074718,-1.33998,0.708275,-0.736989,5.0036,-0.249386,0.145386,-6.66472,-16.8079,5.32008,276.145,989.9,30.4361
3099688873296,-1.26341,0.646062,-0.803988,5.0036,-0.234419,0.1237,-6.70856,-16.2233,-6.59164,277.402,989.607,30.4449
3099763702393,-1.2012,0.617348,-0.727417,5.0036,-0.228311,0.112857,-5.97778,-19.7457,-17.3926,279.536,989.388,30.4271
3099843170171,-1.12941,0.646062,-0.698704,5.0036,-0.221744,0.103694,-5.86086,-27.1412,-24.4081,282.377,989.147,30.4316
3099918029786,-1.09591,0.598205,-0.713061,5.0036,-0.228769,0.0894917,-6.25548,-35.6328,-26.2789,284.501,988.802,30.4316
3099992797860,-1.02891,0.488136,-0.650847,5.0036,-0.243277,0.0852157,-6.43087,-43.7007,-23.9988,286.803,988.509,30.4316
3100067565920,-0.9667,0.588634,-0.679561,5.0036,-0.246942,0.101404,-6.75241,-50.6723,-16.3256,289.561,988.258,30.4271
3100147094735,-0.899701,0.535992,-0.713061,5.0036,-0.267864,0.109192,-7.5855,-54.1216,-6.70856,291.694,988.007,30.4361
3100221923831,-0.861416,0.48335,-0.756131,5.0036,-0.281151,0.122173,-8.15551,-54.6916,4.28237,293.036,987.849,30.4405
3100296722423,-0.818345,0.454636,-0.736989,5.0036,-0.282372,0.146608,-8.06781,-51.8562,12.8617,295.17,987.609,30.4361
3100371429448,-0.775274,0.301496,-0.631705,5.0036,-0.271377,0.174097,-8.33089,-45.7176,20.1549,297.293,987.338,30.4271
3100451019298,-0.751346,0.435493,-0.708275,5.0036,-0.253967,0.204793,-8.15551,-37.9275,22.6396,299.596,987.18,30.4271
3100525817877,-0.66999,0.200997,-0.665204,5.00329,-0.233961,0.216857,-7.74627,-30.6051,22.1719,301.297,986.877,30.4361
3100600769045,-0.646062,0.143569,-0.430708,4.98145,-0.206778,0.239459,-7.42473,-23.6042,18.5472,302.279,986.719,30.4316
3100680206306,-0.569491,0.0909272,-0.277567,4.84523,-0.140194,0.270613,-7.35165,-18.5472,10.4209,304.582,986.459,30.4316
3100755004884,-0.540777,0.0574277,-0.301496,4.72107,-0.054367,0.264046,-6.44548,-15.4633,1.79772,306.547,986.259,30.4316
3100829833994,-0.488136,0.105284,-0.253639,4.61829,0.000458149,0.234878,-5.64162,-15.3902,-7.79012,308.406,986.092,30.4449
3100904693609,-0.454636,0.114855,-0.26321,4.49963,0.0412334,0.189368,-5.14469,-17.758,-16.2233,309.399,985.882,30.4361
