time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.05,0.6096,0.0,0.0,0.0,0.0,0,0,0
0.1,0.3048,0.0,0.0,0.0,0.0,0,0,0
0.15,0.6096,0.0,0.0,0.0,0.0,0,0,0
0.2,0.3048,0.0,0.0,0.0,0.0,0,0,0
0.25,0.6096,0.0,0.0,0.0,0.0,0,0,0
0.3,0.3048,0.0,0.0,0.0,0.0,0,0,0
0.35,-0.9144000000000001,0.0,0.0,0.0,0.0,0,0,0
0.4,1.524,0.0,0.0,0.0,0.0,0,0,0
0.45,0.9144000000000001,0.0,0.0,0.0,0.0,0,0,0
0.5,1.8288000000000002,0.0,0.0,0.0,0.0,0,0,0
0.55,1.524,0.0,0.0,0.0,0.0,0,0,0
0.6,3.3528000000000002,0.0,0.0,0.0,0.0,0,0,0
0.65,4.8768,0.0,0.0,0.0,0.0,0,0,0
0.7,6.7056000000000004,0.0,0.0,0.0,0.0,0,0,0
0.75,9.144,0.0,0.0,0.0,0.0,0,0,0
0.8,10.972800000000001,0.0,0.0,0.0,0.0,0,0,0
0.85,12.8016,0.0,0.0,0.0,0.0,0,0,0
0.9,14.9352,0.0,0.0,0.0,0.0,0,0,0
0.95,18.288,0.0,0.0,0.0,0.0,0,0,0
1.0,22.250400000000003,0.0,0.0,0.0,0.0,0,0,0
1.05,26.2128,0.0,0.0,0.0,0.0,0,0,0
1.1,28.651200000000003,0.0,0.0,0.0,0.0,0,0,0
1.15,31.3944,0.0,0.0,0.0,0.0,0,0,0
1.2,35.052,0.0,0.0,0.0,0.0,0,0,0
1.25,38.7096,0.0,0.0,0.0,0.0,0,0,0
1.3,43.586400000000005,0.0,0.0,0.0,0.0,0,0,0
1.35,48.768,0.0,0.0,0.0,0.0,0,0,0
1.4,53.644800000000004,0.0,0.0,0.0,0.0,0,0,0
1.45,58.8264,0.0,0.0,0.0,0.0,0,0,0
1.5,62.7888,0.0,0.0,0.0,0.0,0,0,0
1.55,68.2752,0.0,0.0,0.0,0.0,0,0,0
1.6,74.9808,0.0,0.0,0.0,0.0,0,0,0
1.65,81.3816,0.0,0.0,0.0,0.0,0,0,0
1.7,87.17280000000001,0.0,0.0,0.0,0.0,0,0,0
1.75,93.5736,0.0,0.0,0.0,0.0,0,0,0
1.8,100.8888,0.0,0.0,0.0,0.0,0,0,0
1.85,107.59440000000001,0.0,0.0,0.0,0.0,0,0,0
1.9,114.30000000000001,0.0,0.0,0.0,0.0,0,0,0
1.95,122.8344,0.0,0.0,0.0,0.0,0,0,0
2.0,131.064,0.0,0.0,0.0,0.0,0,0,0
2.05,141.4272,0.0,0.0,0.0,0.0,0,0,0
2.1,148.7424,0.0,0.0,0.0,0.0,0,0,0
2.15,157.8864,0.0,0.0,0.0,0.0,0,0,0
2.2,166.4208,0.0,0.0,0.0,0.0,0,0,0
2.25,173.73600000000002,0.0,0.0,0.0,0.0,0,0,0
2.3,181.66080000000002,0.0,0.0,0.0,0.0,0,0,0
2.35,189.2808,0.0,0.0,0.0,0.0,0,0,0
2.4,203.6064,0.0,0.0,0.0,0.0,0,0,0
2.45,210.6168,0.0,0.0,0.0,0.0,0,0,0
2.5,217.01760000000002,0.0,0.0,0.0,0.0,0,0,0
2.55,222.80880000000002,0.0,0.0,0.0,0.0,0,0,0
2.6,232.25760000000002,0.0,0.0,0.0,0.0,0,0,0
2.65,240.4872,0.0,0.0,0.0,0.0,0,0,0
2.7,247.8024,0.0,0.0,0.0,0.0,0,0,0
2.75,256.64160000000004,0.0,0.0,0.0,0.0,0,0,0
2.8,262.4328,0.0,0.0,0.0,0.0,0,0,0
2.85,270.0528,0.0,0.0,0.0,0.0,0,0,0
2.9,277.9776,0.0,0.0,0.0,0.0,0,0,0
2.95,285.5976,0.0,0.0,0.0,0.0,0,0,0
3.0,292.608,0.0,0.0,0.0,0.0,0,0,0
3.05,299.9232,0.0,0.0,0.0,0.0,0,0,0
3.1,309.6768,0.0,0.0,0.0,0.0,0,0,0
3.15,316.3824,0.0,0.0,0.0,0.0,0,0,0
3.2,323.088,0.0,0.0,0.0,0.0,0,0,0
3.25,330.4032,0.0,0.0,0.0,0.0,0,0,0
3.3,337.10880000000003,0.0,0.0,0.0,0.0,0,0,0
3.35,344.42400000000004,0.0,0.0,0.0,0.0,0,0,0
3.4,352.04400000000004,0.0,0.0,0.0,0.0,0,0,0
3.45,358.44480000000004,0.0,0.0,0.0,0.0,0,0,0
3.5,366.6744,0.0,0.0,0.0,0.0,0,0,0
3.55,374.904,0.0,0.0,0.0,0.0,0,0,0
3.6,380.3904,0.0,0.0,0.0,0.0,0,0,0
