# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
100.413,1113.563,-15.532,0.01,-1.395,744.8,0.5
100.913,1105.798,-15.527,0.012,-1.345,745.5,0.5
101.413,1098.036,-15.52,0.012,-1.294,746.2,0.5
101.913,1090.278,-15.514,0.013,-1.244,746.9,0.5
102.413,1082.522,-15.509,0.011,-1.193,747.7,0.5
102.913,1074.77,-15.5,0.017,-1.143,748.4,0.5
103.413,1067.021,-15.494,0.013,-1.093,749.2,0.5
103.913,1059.275,-15.49,0.009,-1.042,749.9,0.5
104.413,1051.532,-15.484,0.011,-0.992,750.6,0.5
104.913,1043.791,-15.478,0.012,-0.941,751.4,0.5
105.413,1036.054,-15.471,0.013,-0.891,752.1,0.5
105.913,1028.321,-15.463,0.017,-0.841,752.9,0.5
106.413,1020.59,-15.458,0.01,-0.791,753.6,0.5
106.913,1012.863,-15.452,0.011,-0.74,754.4,0.5
107.413,1005.138,-15.447,0.011,-0.69,755.1,0.5
107.913,997.416,-15.44,0.012,-0.64,755.9,0.5
108.413,989.698,-15.433,0.014,-0.59,756.6,0.5
108.913,981.983,-15.425,0.017,-0.54,757.3,0.5
109.413,974.272,-15.421,0.008,-0.489,758.1,0.5
109.913,966.563,-15.416,0.011,-0.439,758.8,0.5
110.413,958.857,-15.408,0.015,-0.389,759.6,0.5
110.913,951.154,-15.403,0.01,-0.339,760.3,0.5
111.413,943.454,-15.398,0.012,-0.289,761.1,0.5
111.913,935.756,-15.391,0.014,-0.239,761.8,0.5
112.413,928.063,-15.385,0.011,-0.189,762.5,0.5
112.913,920.371,-15.379,0.011,-0.139,763.3,0.5
113.413,912.684,-15.372,0.015,-0.089,764,0.5
113.913,904.999,-15.367,0.01,-0.039,764.8,0.5
114.413,897.317,-15.361,0.011,0.011,765.5,0.5
114.913,889.637,-15.356,0.012,0.061,766.2,0.5
115.413,881.961,-15.349,0.014,0.111,767,0.5
115.913,874.289,-15.342,0.014,0.161,767.7,0.5
116.413,866.619,-15.336,0.011,0.211,768.5,0.5
116.913,858.952,-15.331,0.01,0.26,769.2,0.5
117.413,851.288,-15.325,0.012,0.31,769.9,0.5
117.913,843.628,-15.318,0.013,0.36,770.7,0.5
118.413,835.97,-15.313,0.01,0.41,771.4,0.5
118.913,828.314,-15.307,0.013,0.46,772.1,0.5
119.413,820.663,-15.3,0.014,0.509,772.9,0.5
119.913,813.014,-15.296,0.009,0.559,773.6,0.5
120.413,805.367,-15.29,0.012,0.609,774.4,0.5
120.913,797.725,-15.281,0.018,0.659,775.1,0.5
121.413,790.085,-15.276,0.01,0.708,775.8,0.5
121.913,782.448,-15.272,0.008,0.758,776.6,0.5
122.413,774.814,-15.267,0.011,0.808,777.3,0.5
122.913,767.182,-15.26,0.012,0.857,778,0.5
123.413,759.553,-15.254,0.013,0.907,778.8,0.5
123.913,751.928,-15.249,0.01,0.956,779.5,0.5
124.413,744.305,-15.244,0.01,1.006,780.2,0.5
124.913,736.684,-15.238,0.011,1.056,781,0.5
125.413,729.067,-15.229,0.018,1.105,781.7,0.5
125.913,721.454,-15.224,0.009,1.155,782.4,0.5
126.413,713.843,-15.219,0.01,1.204,783.2,0.5
126.913,706.235,-15.214,0.009,1.254,783.9,0.5
127.413,698.63,-15.206,0.017,1.303,784.6,0.5
127.913,691.028,-15.202,0.009,1.352,785.4,0.5
128.413,683.429,-15.195,0.013,1.402,786.1,0.5
128.913,675.832,-15.191,0.009,1.451,786.8,0.5
129.413,668.238,-15.186,0.009,1.501,787.6,0.5
129.913,660.647,-15.181,0.011,1.55,788.3,0.5
130.413,653.059,-15.171,0.019,1.599,789,0.5
130.913,645.474,-15.168,0.007,1.649,789.7,0.5
131.413,637.891,-15.163,0.009,1.698,790.5,0.5
131.913,630.312,-15.155,0.017,1.747,791.2,0.5
132.413,622.735,-15.151,0.008,1.796,791.9,0.5
132.913,615.161,-15.145,0.012,1.846,792.7,0.5
133.413,607.59,-15.14,0.009,1.895,793.4,0.5
133.913,600.021,-15.136,0.01,1.944,794.1,0.5
134.413,592.455,-15.128,0.016,1.993,794.9,0.5
134.913,584.892,-15.124,0.008,2.043,795.6,0.5
135.413,577.332,-15.118,0.011,2.092,796.4,0.5
135.913,569.774,-15.11,0.016,2.141,797.1,0.5
136.413,562.221,-15.103,0.014,2.19,797.9,0.5
136.913,554.67,-15.1,0.007,2.239,798.7,0.5
137.413,547.122,-15.094,0.011,2.288,799.4,0.5
137.913,539.576,-15.089,0.01,2.337,800.2,0.5
138.413,532.033,-15.083,0.011,2.386,801,0.5
138.913,524.493,-15.078,0.012,2.435,801.7,0.5
139.413,516.955,-15.072,0.012,2.484,802.5,0.5
139.913,509.421,-15.066,0.012,2.533,803.3,0.5
140.413,501.89,-15.06,0.011,2.582,804,0.5
140.913,494.361,-15.054,0.011,2.631,804.8,0.5
141.413,486.835,-15.048,0.012,2.68,805.5,0.5
141.913,479.313,-15.042,0.012,2.729,806.3,0.5
142.413,471.793,-15.036,0.012,2.778,807.1,0.5
142.913,464.277,-15.03,0.014,2.827,807.8,0.5
143.413,456.763,-15.025,0.009,2.876,808.6,0.5
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=143.414 seconds
143.913,449.252,-15.019,0.011,2.925,809.3,0.5
143.923,449.103,-14.519,49.517,2.973,810.1,0.01
143.926,449.065,-14.401,45.638,2.974,810.1,0.003
143.928,449.024,-14.272,44.735,2.975,810.1,0.003
143.931,448.982,-14.142,43.763,2.975,810.1,0.003
143.935,448.939,-14.011,42.794,2.975,810.1,0.003
143.938,448.895,-13.879,41.825,2.975,810.1,0.003
143.941,448.849,-13.745,40.857,2.976,810.1,0.003
143.944,448.803,-13.611,39.889,2.976,810.1,0.003
143.948,448.756,-13.475,38.923,2.976,810.2,0.003
143.951,448.708,-13.338,37.956,2.977,810.2,0.004
143.955,448.658,-13.2,36.99,2.977,810.2,0.004
143.959,448.607,-13.061,36.025,2.977,810.2,0.004
143.963,448.555,-12.92,35.064,2.978,810.2,0.004
143.967,448.502,-12.778,34.103,2.978,810.2,0.004
143.971,448.447,-12.635,33.144,2.978,810.2,0.004
143.976,448.39,-12.49,32.185,2.979,810.2,0.004
143.981,448.332,-12.344,31.228,2.979,810.2,0.005
143.986,448.272,-12.196,30.271,2.979,810.2,0.005
143.991,448.21,-12.046,29.316,2.98,810.2,0.005
143.996,448.147,-11.895,28.362,2.98,810.2,0.005
144.002,448.081,-11.742,27.409,2.981,810.2,0.006
144.007,448.012,-11.587,26.458,2.981,810.2,0.006
144.014,447.941,-11.43,25.507,2.981,810.2,0.006
144.02,447.868,-11.271,24.557,2.982,810.2,0.006
144.027,447.791,-11.11,23.607,2.982,810.2,0.007
144.034,447.712,-10.947,22.66,2.983,810.3,0.007
144.042,447.629,-10.782,21.715,2.983,810.3,0.008
144.05,447.543,-10.614,20.771,2.984,810.3,0.008
144.058,447.453,-10.445,19.829,2.984,810.3,0.009
144.067,447.359,-10.273,18.89,2.985,810.3,0.009
144.077,447.261,-10.099,17.956,2.986,810.3,0.01
144.087,447.157,-9.923,17.026,2.986,810.3,0.01
144.099,447.048,-9.744,16.098,2.987,810.3,0.011
144.11,446.932,-9.563,15.173,2.988,810.3,0.012
144.123,446.81,-9.378,14.252,2.988,810.3,0.013
144.137,446.679,-9.191,13.333,2.989,810.4,0.014
144.153,446.54,-9.001,12.421,2.99,810.4,0.015
144.17,446.391,-8.808,11.513,2.991,810.4,0.017
144.188,446.229,-8.611,10.607,2.992,810.4,0.019
144.209,446.054,-8.412,9.708,2.993,810.4,0.021
144.232,445.863,-8.209,8.816,2.994,810.4,0.023
144.257,445.657,-8.007,7.933,2.995,810.5,0.025
144.286,445.425,-7.799,7.074,2.997,810.5,0.029
144.32,445.163,-7.588,6.211,2.998,810.5,0.034
144.36,444.869,-7.377,5.355,3,810.5,0.039
144.407,444.525,-7.164,4.525,3.002,810.6,0.047
144.462,444.135,-6.958,3.716,3.004,810.6,0.055
144.534,443.644,-6.747,2.952,3.007,810.6,0.072
144.624,443.045,-6.548,2.203,3.01,810.7,0.09
144.747,442.249,-6.363,1.501,3.014,810.7,0.123
144.894,441.323,-6.237,0.861,3.019,810.8,0.147
145.223,439.299,-6.091,0.444,3.025,810.9,0.328
145.708,436.339,-6.102,-0.023,3.038,811.1,0.486
146.095,433.981,-6.081,0.056,3.057,811.4,0.387
146.495,431.544,-6.103,-0.056,3.073,811.7,0.4
146.995,428.495,-6.093,0.019,3.088,811.9,0.5
147.495,425.447,-6.098,-0.009,3.108,812.2,0.5
147.928,422.815,-6.072,0.06,3.128,812.5,0.433
148.428,419.77,-6.106,-0.068,3.145,812.8,0.5
148.928,416.723,-6.084,0.044,3.165,813.1,0.5
149.398,413.862,-6.083,0.002,3.185,813.4,0.47
149.74,411.783,-6.086,-0.008,3.203,813.7,0.342
150.24,408.744,-6.071,0.031,3.217,813.9,0.5
150.692,405.995,-6.099,-0.062,3.237,814.2,0.452
151.192,402.949,-6.084,0.03,3.255,814.5,0.5
151.692,399.906,-6.088,-0.009,3.274,814.8,0.5
152.192,396.863,-6.085,0.008,3.294,815.1,0.5
152.692,393.82,-6.088,-0.006,3.314,815.4,0.5
153.192,390.78,-6.072,0.031,3.334,815.7,0.5
153.692,387.739,-6.092,-0.04,3.353,816,0.5
154.192,384.696,-6.078,0.03,3.373,816.3,0.5
154.692,381.663,-6.056,0.044,3.393,816.6,0.5
155.053,379.471,-6.085,-0.08,3.413,817,0.361
155.553,376.43,-6.079,0.012,3.427,817.2,0.5
156.053,373.391,-6.08,-0.002,3.447,817.5,0.5
156.553,370.351,-6.079,0.002,3.466,817.8,0.5
157.053,367.314,-6.068,0.023,3.486,818.1,0.5
157.553,364.278,-6.077,-0.02,3.506,818.4,0.5
158.053,361.24,-6.073,0.008,3.526,818.7,0.5
158.394,359.173,-6.054,0.057,3.545,819,0.341
158.894,356.139,-6.082,-0.056,3.559,819.2,0.5
159.339,353.433,-6.062,0.046,3.579,819.5,0.446
159.839,350.398,-6.078,-0.033,3.596,819.8,0.5
160.339,347.362,-6.068,0.021,3.616,820.1,0.5
160.839,344.329,-6.063,0.009,3.636,820.4,0.5
161.339,341.294,-6.075,-0.023,3.655,820.7,0.5
161.839,338.261,-6.059,0.031,3.675,821,0.5
162.339,335.228,-6.072,-0.026,3.695,821.3,0.5
162.839,332.194,-6.064,0.016,3.715,821.7,0.5
163.339,329.161,-6.068,-0.008,3.734,822,0.5
163.839,326.128,-6.064,0.008,3.754,822.3,0.5
164.339,323.095,-6.065,-0,3.774,822.6,0.5
164.839,320.064,-6.062,0.004,3.793,822.9,0.5
165.324,317.125,-6.049,0.026,3.813,823.2,0.485
165.824,314.095,-6.07,-0.042,3.832,823.5,0.5
166.324,311.064,-6.054,0.033,3.852,823.8,0.5
166.824,308.038,-6.053,0.001,3.872,824.1,0.5
167.302,305.148,-6.06,-0.015,3.891,824.4,0.477
167.735,302.527,-6.046,0.032,3.91,824.7,0.433
168.229,299.532,-6.065,-0.037,3.927,825,0.495
168.729,296.502,-6.052,0.024,3.947,825.3,0.5
169.229,293.476,-6.054,-0.003,3.966,825.6,0.5
169.729,290.449,-6.053,0.002,3.986,825.9,0.5
170.229,287.423,-6.051,0.004,4.006,826.2,0.5
170.729,284.398,-6.052,-0.003,4.025,826.5,0.5
171.229,281.372,-6.053,-0.001,4.045,826.8,0.5
171.729,278.347,-6.047,0.011,4.065,827.1,0.5
172.229,275.322,-6.053,-0.011,4.084,827.4,0.5
172.729,272.298,-6.044,0.017,4.104,827.7,0.5
173.229,269.282,-6.018,0.052,4.124,828,0.5
173.429,268.078,-6.02,-0.007,4.143,828.3,0.2
173.834,265.637,-6.042,-0.055,4.151,828.4,0.405
174.334,262.615,-6.048,-0.012,4.167,828.7,0.5
174.834,259.592,-6.045,0.006,4.187,829,0.5
175.334,256.569,-6.046,-0.002,4.206,829.3,0.5
175.834,253.548,-6.041,0.009,4.226,829.6,0.5
176.334,250.526,-6.045,-0.008,4.245,829.9,0.5
176.834,247.507,-6.034,0.022,4.265,830.2,0.5
177.086,245.988,-6.014,0.078,4.285,830.5,0.252
177.31,244.641,-6.032,-0.082,4.295,830.7,0.224
177.81,241.622,-6.044,-0.023,4.303,830.8,0.5
178.31,238.602,-6.035,0.017,4.323,831.1,0.5
178.79,235.706,-6.028,0.015,4.343,831.4,0.48
179.261,232.865,-6.042,-0.03,4.361,831.7,0.471
179.761,229.847,-6.032,0.019,4.38,832,0.5
180.261,226.831,-6.03,0.005,4.399,832.3,0.5
180.761,223.814,-6.038,-0.016,4.419,832.6,0.5
181.261,220.797,-6.029,0.019,4.439,832.9,0.5
181.761,217.782,-6.031,-0.005,4.458,833.2,0.5
182.261,214.766,-6.032,-0.002,4.478,833.5,0.5
182.761,211.75,-6.032,0,4.498,833.8,0.5
183.261,208.735,-6.031,0.003,4.517,834.1,0.5
183.761,205.721,-6.026,0.008,4.537,834.5,0.5
184.261,202.706,-6.031,-0.009,4.556,834.8,0.5
184.761,199.697,-6.007,0.048,4.576,835.1,0.5
185.261,196.687,-6.03,-0.046,4.595,835.4,0.5
185.761,193.674,-6.023,0.014,4.615,835.7,0.5
186.261,190.661,-6.027,-0.008,4.635,836,0.5
186.761,187.65,-6.019,0.016,4.654,836.3,0.5
187.261,184.64,-6.021,-0.003,4.674,836.6,0.5
187.761,181.628,-6.024,-0.006,4.693,836.9,0.5
188.261,178.617,-6.021,0.006,4.713,837.2,0.5
188.761,175.607,-6.022,-0.002,4.732,837.5,0.5
189.261,172.597,-6.015,0.014,4.752,837.8,0.5
189.761,169.592,-6.008,0.013,4.772,838.1,0.5
190.255,166.617,-6.024,-0.031,4.791,838.4,0.495
190.755,163.607,-6.014,0.02,4.81,838.7,0.5
191.255,160.6,-6.015,-0.003,4.83,839,0.5
191.755,157.592,-6.016,-0.002,4.85,839.3,0.5
192.255,154.585,-6.013,0.006,4.869,839.6,0.5
192.755,151.579,-6.009,0.008,4.889,839.9,0.5
193.244,148.639,-6.009,-0,4.908,840.2,0.489
193.744,145.633,-6.015,-0.012,4.927,840.5,0.5
194.244,142.627,-6.009,0.012,4.947,840.8,0.5
194.744,139.622,-6.01,-0.003,4.966,841.1,0.5
195.244,136.619,-6.003,0.014,4.986,841.4,0.5
195.744,133.616,-6.009,-0.011,5.005,841.8,0.5
196.244,130.612,-6.005,0.008,5.025,842.1,0.5
196.744,127.609,-6.009,-0.008,5.045,842.4,0.5
197.244,124.61,-5.989,0.04,5.064,842.7,0.5
197.691,121.932,-6.011,-0.049,5.084,843,0.446
198.191,118.932,-5.988,0.047,5.101,843.2,0.5
198.691,115.932,-6.014,-0.053,5.12,843.5,0.5
199.191,112.929,-5.995,0.039,5.14,843.8,0.5
199.691,109.929,-6.007,-0.023,5.159,844.2,0.5
200.191,106.929,-5.993,0.026,5.179,844.5,0.5
200.691,103.933,-5.99,0.007,5.198,844.8,0.5
201.026,101.926,-5.992,-0.006,5.218,845.1,0.335
201.526,98.927,-6.002,-0.02,5.231,845.3,0.5
202.026,95.929,-5.993,0.019,5.25,845.6,0.5
202.526,92.932,-5.993,-0.001,5.27,845.9,0.5
203.026,89.934,-5.998,-0.008,5.289,846.2,0.5
203.526,86.936,-5.994,0.007,5.309,846.5,0.5
204.026,83.942,-5.985,0.018,5.328,846.8,0.5
204.526,80.946,-5.999,-0.027,5.348,847.2,0.5
205.026,77.949,-5.988,0.02,5.367,847.5,0.5
205.526,74.954,-5.991,-0.005,5.387,847.8,0.5
206.005,72.087,-5.979,0.025,5.406,848.1,0.479
206.505,69.095,-5.992,-0.025,5.425,848.4,0.5
207.005,66.1,-5.985,0.012,5.444,848.7,0.5
207.491,63.193,-5.977,0.017,5.464,849.1,0.486
207.981,60.259,-5.992,-0.03,5.483,849.4,0.49
208.481,57.266,-5.981,0.021,5.502,849.7,0.5
208.981,54.274,-5.983,-0.004,5.521,850,0.5
209.481,51.282,-5.985,-0.003,5.541,850.3,0.5
209.981,48.291,-5.979,0.013,5.56,850.6,0.5
210.26,46.627,-5.956,0.08,5.58,851,0.279
210.453,45.474,-5.973,-0.086,5.59,851.1,0.193
210.858,43.057,-5.979,-0.016,5.598,851.3,0.405
211.31,40.353,-5.979,0,5.614,851.5,0.452
211.81,37.364,-5.979,0.001,5.631,851.8,0.5
212.31,34.375,-5.979,0.001,5.651,852.1,0.5
212.81,31.385,-5.978,0.002,5.67,852.4,0.5
213.31,28.397,-5.975,0.005,5.689,852.8,0.5
213.81,25.409,-5.978,-0.005,5.709,853.1,0.5
214.31,22.423,-5.966,0.023,5.728,853.4,0.5
214.59,20.756,-5.954,0.045,5.748,853.7,0.28
214.846,19.227,-5.971,-0.067,5.759,853.9,0.256
215.332,16.327,-5.965,0.011,5.769,854,0.486
215.691,14.185,-5.966,-0,5.787,854.4,0.359
216.191,11.209,-5.937,0.057,5.801,854.6,0.5
216.462,9.595,-5.963,-0.096,5.821,854.9,0.271
216.745,7.911,-5.968,-0.019,5.831,855.1,0.282
217.245,4.927,-5.966,0.005,5.842,855.2,0.5
217.745,1.944,-5.969,-0.006,5.861,855.6,0.5
# Event GROUND_HIT occurred at t=218.071 seconds
# Event SIMULATION_END occurred at t=218.071 seconds
218.071,0,-5.96,0.025,5.881,855.9,0.326
