# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s),Apogee (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
18.25,2311.02,31.0126,-10.1005,-9.117,640.3,0.0499992,2359.56
18.3,2312.56,30.513,-10.093,-9.127,640.2,0.0499992,2359.56
18.35,2314.07,30.013,-10.0863,-9.137,640,0.0500011,2359.56
18.4,2315.56,29.5157,-10.0775,-9.147,639.9,0.0499992,2359.57
18.45,2317.03,29.0199,-10.0677,-9.157,639.8,0.0500011,2359.59
18.5,2318.47,28.5202,-10.0622,-9.167,639.7,0.0499992,2359.59
18.55,2319.89,28.0226,-10.0551,-9.176,639.5,0.0499992,2359.59
18.6,2321.28,27.5218,-10.0515,-9.185,639.4,0.0500011,2359.58
18.65,2322.64,27.0243,-10.045,-9.194,639.3,0.0499992,2359.59
18.7,2323.99,26.5299,-10.0359,-9.203,639.2,0.0500011,2359.6
18.75,2325.31,26.0356,-10.0273,-9.212,639.1,0.0499992,2359.62
18.8,2326.6,25.5393,-10.021,-9.221,639,0.0499992,2359.62
18.85,2327.87,25.0429,-10.0152,-9.229,638.9,0.0500011,2359.63
18.9,2329.11,24.5468,-10.0095,-9.237,638.8,0.0499992,2359.63
18.95,2330.33,24.0526,-10.0022,-9.245,638.7,0.0500011,2359.64
19,2331.52,23.5565,-9.9973,-9.253,638.6,0.0499992,2359.64
19.05,2332.69,23.0601,-9.99292,-9.261,638.5,0.0499992,2359.64
19.1,2333.83,22.5679,-9.98492,-9.269,638.4,0.0500011,2359.66
19.15,2334.96,22.0801,-9.97306,-9.276,638.3,0.0499992,2359.68
19.2,2336.06,21.5894,-9.96439,-9.283,638.2,0.0500011,2359.7
19.25,2337.13,21.0984,-9.9566,-9.291,638.1,0.0499992,2359.72
19.3,2338.18,20.6086,-9.94795,-9.298,638,0.0499992,2359.73
19.35,2339.2,20.1201,-9.9385,-9.304,637.9,0.0500011,2359.75
19.4,2340.2,19.6298,-9.93116,-9.311,637.8,0.0499992,2359.77
19.45,2341.18,19.1419,-9.92189,-9.317,637.8,0.0500011,2359.79
19.5,2342.13,18.6512,-9.91571,-9.324,637.7,0.0499992,2359.8
19.55,2343.06,18.1658,-9.90485,-9.33,637.6,0.0499992,2359.82
19.6,2343.96,17.6769,-9.89776,-9.336,637.5,0.0500011,2359.83
19.65,2344.84,17.195,-9.88428,-9.342,637.4,0.0499992,2359.86
19.7,2345.69,16.7093,-9.87502,-9.348,637.4,0.0500011,2359.88
19.75,2346.52,16.2249,-9.86481,-9.353,637.3,0.0499992,2359.91
19.8,2347.33,15.7398,-9.85583,-9.358,637.2,0.0499992,2359.92
19.85,2348.11,15.2568,-9.84515,-9.364,637.2,0.0500011,2359.95
19.9,2348.86,14.7684,-9.84005,-9.369,637.1,0.0499992,2359.96
19.95,2349.6,14.2839,-9.83156,-9.374,637,0.0500011,2359.97
20,2350.3,13.7973,-9.82542,-9.378,637,0.0499992,2359.99
20.05,2350.98,13.3125,-9.81793,-9.383,636.9,0.0499992,2360
20.1,2351.64,12.8299,-9.80861,-9.387,636.9,0.0500011,2360.02
20.15,2352.27,12.3439,-9.80287,-9.392,636.8,0.0499992,2360.03
20.2,2352.88,11.8564,-9.79896,-9.396,636.8,0.0500011,2360.04
20.25,2353.46,11.3672,-9.79689,-9.4,636.7,0.0499992,2360.04
20.3,2354.02,10.8817,-9.79141,-9.404,636.7,0.0499992,2360.05
20.35,2354.55,10.3964,-9.78608,-9.407,636.6,0.0500011,2360.06
20.4,2355.06,9.91088,-9.78121,-9.411,636.6,0.0499992,2360.06
20.45,2355.55,9.4258,-9.77617,-9.414,636.5,0.0500011,2360.07
20.5,2356.01,8.94321,-9.76903,-9.417,636.5,0.0499992,2360.08
20.55,2356.45,8.46067,-9.76217,-9.42,636.4,0.0499992,2360.1
20.6,2356.87,7.97945,-9.75433,-9.423,636.4,0.0500011,2360.11
20.65,2357.26,7.49879,-9.74632,-9.426,636.4,0.0499992,2360.12
20.7,2357.62,7.01464,-9.74196,-9.428,636.3,0.0500011,2360.13
20.75,2357.96,6.53301,-9.73547,-9.431,636.3,0.0499992,2360.14
20.8,2358.29,6.05662,-9.72425,-9.433,636.3,0.0499992,2360.16
20.85,2358.59,5.58698,-9.707,-9.435,636.3,0.0500011,2360.18
20.9,2358.87,5.11395,-9.6936,-9.437,636.2,0.0499992,2360.2
20.95,2359.13,4.64695,-9.67492,-9.439,636.2,0.0500011,2360.23
21,2359.35,4.17252,-9.66399,-9.44,636.2,0.0499992,2360.24
21.05,2359.56,3.69782,-9.65376,-9.442,636.2,0.0499992,2360.25
21.1,2359.73,3.22422,-9.64287,-9.443,636.2,0.0500011,2360.26
21.15,2359.9,2.75847,-9.62492,-9.444,636.1,0.0499992,2360.28
21.2,2360.03,2.28778,-9.61232,-9.445,636.1,0.0500011,2360.3
21.25,2360.13,1.81411,-9.60306,-9.446,636.1,0.0499992,2360.3
21.3,2360.22,1.34813,-9.58685,-9.446,636.1,0.0499992,2360.32
21.35,2360.28,0.878327,-9.57486,-9.447,636.1,0.0500011,2360.32
21.4,2360.32,0.410276,-9.56169,-9.447,636.1,0.0499992,2360.33
21.45,2360.34,-0.0528778,-9.54435,-9.448,636.1,0.0500011,2360.34
# Event APOGEE occurred at t=21.5 seconds
21.5,2360.33,-0.519719,-9.53119,-9.448,636.1,0.0499992,2360.35
21.55,2360.3,-0.981472,-9.51369,-9.448,636.1,0.0499992,2360.35
21.6,2360.17,-1.52306,-9.57319,-9.447,636.1,0.0500011,2360.29
21.65,2360.07,-2.0132,-9.58198,-9.447,636.1,0.0499992,2360.28
21.7,2359.96,-2.49341,-9.5812,-9.446,636.1,0.0500011,2360.27
21.75,2359.83,-2.96059,-9.56815,-9.446,636.1,0.0499992,2360.28
21.8,2359.68,-3.42636,-9.55428,-9.445,636.1,0.0499992,2360.28
21.85,2359.51,-3.88553,-9.53465,-9.444,636.1,0.0500011,2360.28
21.9,2359.32,-4.34675,-9.5177,-9.443,636.2,0.0499992,2360.28
21.95,2359.1,-4.81062,-9.50391,-9.441,636.2,0.0500011,2360.28
22,2358.87,-5.25865,-9.47554,-9.44,636.2,0.0499992,2360.28
22.05,2358.62,-5.70293,-9.44456,-9.438,636.2,0.0499992,2360.27
22.1,2358.34,-6.14459,-9.41208,-9.436,636.2,0.0500011,2360.27
22.15,2358.06,-6.57879,-9.37358,-9.435,636.3,0.0499992,2360.26
22.2,2357.76,-6.99467,-9.3188,-9.432,636.3,0.0500011,2360.25
22.25,2357.43,-7.42302,-9.2777,-9.43,636.3,0.0499992,2360.24
22.3,2357.07,-7.85471,-9.24114,-9.428,636.4,0.0499992,2360.21
22.35,2356.69,-8.28549,-9.20495,-9.425,636.4,0.0500011,2360.18
22.4,2356.31,-8.69003,-9.1449,-9.423,636.4,0.0499992,2360.15
22.45,2355.89,-9.10561,-9.09732,-9.42,636.5,0.0500011,2360.11
