# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
144.257,445.657,-8.007,7.933,2.995,810.452
144.286,445.425,-7.799,7.074,2.997,810.473
144.32,445.163,-7.588,6.211,2.998,810.496
144.36,444.869,-7.377,5.355,3,810.523
144.407,444.525,-7.164,4.525,3.002,810.553
144.462,444.135,-6.958,3.716,3.004,810.587
144.534,443.644,-6.747,2.952,3.007,810.627
144.624,443.045,-6.548,2.203,3.01,810.677
144.747,442.249,-6.363,1.501,3.014,810.737
144.894,441.323,-6.237,0.861,3.019,810.818
145.223,439.299,-6.091,0.444,3.025,810.912
145.708,436.339,-6.102,-0.023,3.038,811.116
146.095,433.981,-6.081,0.056,3.057,811.416
146.495,431.544,-6.103,-0.056,3.073,811.655
146.995,428.495,-6.093,0.019,3.088,811.901
147.495,425.447,-6.098,-0.009,3.108,812.21
147.928,422.815,-6.072,0.06,3.128,812.518
148.428,419.77,-6.106,-0.068,3.145,812.785
148.928,416.723,-6.084,0.044,3.165,813.093
149.398,413.862,-6.083,0.002,3.185,813.401
149.74,411.783,-6.086,-0.008,3.203,813.691
150.24,408.744,-6.071,0.031,3.217,813.901
150.692,405.995,-6.099,-0.062,3.237,814.209
151.192,402.949,-6.084,0.03,3.255,814.487
151.692,399.906,-6.088,-0.009,3.274,814.796
152.192,396.863,-6.085,0.008,3.294,815.104
152.692,393.82,-6.088,-0.006,3.314,815.412
153.192,390.78,-6.072,0.031,3.334,815.72
153.692,387.739,-6.092,-0.04,3.353,816.027
154.192,384.696,-6.078,0.03,3.373,816.335
154.692,381.663,-6.056,0.044,3.393,816.643
155.053,379.471,-6.085,-0.08,3.413,816.95
155.553,376.43,-6.079,0.012,3.427,817.172
156.053,373.391,-6.08,-0.002,3.447,817.48
156.553,370.351,-6.079,0.002,3.466,817.787
157.053,367.314,-6.068,0.023,3.486,818.095
157.553,364.278,-6.077,-0.02,3.506,818.402
158.053,361.24,-6.073,0.008,3.526,818.71
158.394,359.173,-6.054,0.057,3.545,819.017
158.894,356.139,-6.082,-0.056,3.559,819.226
159.339,353.433,-6.062,0.046,3.579,819.534
159.839,350.398,-6.078,-0.033,3.596,819.807
160.339,347.362,-6.068,0.021,3.616,820.115
160.839,344.329,-6.063,0.009,3.636,820.422
161.339,341.294,-6.075,-0.023,3.655,820.729
161.839,338.261,-6.059,0.031,3.675,821.036
162.339,335.228,-6.072,-0.026,3.695,821.343
162.839,332.194,-6.064,0.016,3.715,821.65
163.339,329.161,-6.068,-0.008,3.734,821.957
163.839,326.128,-6.064,0.008,3.754,822.264
164.339,323.095,-6.065,-2.36e-4,3.774,822.571
164.839,320.064,-6.062,0.004,3.793,822.878
165.324,317.125,-6.049,0.026,3.813,823.185
165.824,314.095,-6.07,-0.042,3.832,823.482
166.324,311.064,-6.054,0.033,3.852,823.789
166.824,308.038,-6.053,0.001,3.872,824.096
167.302,305.148,-6.06,-0.015,3.891,824.402
167.735,302.527,-6.046,0.032,3.91,824.695
168.229,299.532,-6.065,-0.037,3.927,824.96
168.729,296.502,-6.052,0.024,3.947,825.263
169.229,293.476,-6.054,-0.003,3.966,825.57
169.729,290.449,-6.053,0.002,3.986,825.876
170.229,287.423,-6.051,0.004,4.006,826.182
170.729,284.398,-6.052,-0.003,4.025,826.489
171.229,281.372,-6.053,-5.473e-4,4.045,826.795
171.729,278.347,-6.047,0.011,4.065,827.101
172.229,275.322,-6.053,-0.011,4.084,827.407
172.729,272.298,-6.044,0.017,4.104,827.713
173.229,269.282,-6.018,0.052,4.124,828.02
173.429,268.078,-6.02,-0.007,4.143,828.325
173.834,265.637,-6.042,-0.055,4.151,828.447
174.334,262.615,-6.048,-0.012,4.167,828.694
174.834,259.592,-6.045,0.006,4.187,829
175.334,256.569,-6.046,-0.002,4.206,829.306
175.834,253.548,-6.041,0.009,4.226,829.612
176.334,250.526,-6.045,-0.008,4.245,829.917
176.834,247.507,-6.034,0.022,4.265,830.223
177.086,245.988,-6.014,0.078,4.285,830.529
177.31,244.641,-6.032,-0.082,4.295,830.682
177.81,241.622,-6.044,-0.023,4.303,830.819
178.31,238.602,-6.035,0.017,4.323,831.124
178.79,235.706,-6.028,0.015,4.343,831.43
179.261,232.865,-6.042,-0.03,4.361,831.723
179.761,229.847,-6.032,0.019,4.38,832.011
180.261,226.831,-6.03,0.005,4.399,832.316
180.761,223.814,-6.038,-0.016,4.419,832.621
181.261,220.797,-6.029,0.019,4.439,832.927
181.761,217.782,-6.031,-0.005,4.458,833.232
182.261,214.766,-6.032,-0.002,4.478,833.537
182.761,211.75,-6.032,3.889e-5,4.498,833.843
183.261,208.735,-6.031,0.003,4.517,834.148
183.761,205.721,-6.026,0.008,4.537,834.453
184.261,202.706,-6.031,-0.009,4.556,834.758
184.761,199.697,-6.007,0.048,4.576,835.063
185.261,196.687,-6.03,-0.046,4.595,835.368
185.761,193.674,-6.023,0.014,4.615,835.673
186.261,190.661,-6.027,-0.008,4.635,835.978
186.761,187.65,-6.019,0.016,4.654,836.282
187.261,184.64,-6.021,-0.003,4.674,836.587
187.761,181.628,-6.024,-0.006,4.693,836.892
188.261,178.617,-6.021,0.006,4.713,837.197
188.761,175.607,-6.022,-0.002,4.732,837.501
189.261,172.597,-6.015,0.014,4.752,837.806
189.761,169.592,-6.008,0.013,4.772,838.111
190.255,166.617,-6.024,-0.031,4.791,838.415
190.755,163.607,-6.014,0.02,4.81,838.716
191.255,160.6,-6.015,-0.003,4.83,839.021
191.755,157.592,-6.016,-0.002,4.85,839.325
192.255,154.585,-6.013,0.006,4.869,839.63
192.755,151.579,-6.009,0.008,4.889,839.934
193.244,148.639,-6.009,-3.327e-5,4.908,840.238
193.744,145.633,-6.015,-0.012,4.927,840.536
194.244,142.627,-6.009,0.012,4.947,840.84
194.744,139.622,-6.01,-0.003,4.966,841.144
195.244,136.619,-6.003,0.014,4.986,841.448
195.744,133.616,-6.009,-0.011,5.005,841.752
196.244,130.612,-6.005,0.008,5.025,842.056
196.744,127.609,-6.009,-0.008,5.045,842.36
197.244,124.61,-5.989,0.04,5.064,842.664
197.691,121.932,-6.011,-0.049,5.084,842.968
198.191,118.932,-5.988,0.047,5.101,843.239
198.691,115.932,-6.014,-0.053,5.12,843.543
199.191,112.929,-5.995,0.039,5.14,843.846
199.691,109.929,-6.007,-0.023,5.159,844.15
200.191,106.929,-5.993,0.026,5.179,844.454
200.691,103.933,-5.99,0.007,5.198,844.757
201.026,101.926,-5.992,-0.006,5.218,845.061
201.526,98.927,-6.002,-0.02,5.231,845.264
202.026,95.929,-5.993,0.019,5.25,845.568
202.526,92.932,-5.993,-0.001,5.27,845.887
203.026,89.934,-5.998,-0.008,5.289,846.205
203.526,86.936,-5.994,0.007,5.309,846.524
204.026,83.942,-5.985,0.018,5.328,846.843
204.526,80.946,-5.999,-0.027,5.348,847.162
205.026,77.949,-5.988,0.02,5.367,847.48
205.526,74.954,-5.991,-0.005,5.387,847.799
206.005,72.087,-5.979,0.025,5.406,848.118
206.505,69.095,-5.992,-0.025,5.425,848.423
207.005,66.1,-5.985,0.012,5.444,848.741
207.491,63.193,-5.977,0.017,5.464,849.06
207.981,60.259,-5.992,-0.03,5.483,849.369
208.481,57.266,-5.981,0.021,5.502,849.681
208.981,54.274,-5.983,-0.004,5.521,849.999
209.481,51.282,-5.985,-0.003,5.541,850.318
209.981,48.291,-5.979,0.013,5.56,850.636
210.26,46.627,-5.956,0.08,5.58,850.954
210.453,45.474,-5.973,-0.086,5.59,851.131
210.858,43.057,-5.979,-0.016,5.598,851.254
211.31,40.353,-5.979,7.654e-5,5.614,851.511
211.81,37.364,-5.979,5.789e-4,5.631,851.798
212.31,34.375,-5.979,5.776e-4,5.651,852.116
212.81,31.385,-5.978,0.002,5.67,852.434
213.31,28.397,-5.975,0.005,5.689,852.752
213.81,25.409,-5.978,-0.005,5.709,853.07
214.31,22.423,-5.966,0.023,5.728,853.388
214.59,20.756,-5.954,0.045,5.748,853.706
214.846,19.227,-5.971,-0.067,5.759,853.883
215.332,16.327,-5.965,0.011,5.769,854.046
215.691,14.185,-5.966,-6.158e-5,5.787,854.354
216.191,11.209,-5.937,0.057,5.801,854.582
216.462,9.595,-5.963,-0.096,5.821,854.898
216.745,7.911,-5.968,-0.019,5.831,855.07
217.245,4.927,-5.966,0.005,5.842,855.249
217.745,1.944,-5.969,-0.006,5.861,855.567
# Event GROUND_HIT occurred at t=218.071 seconds
# Event SIMULATION_END occurred at t=218.071 seconds
218.071,0,-5.96,0.025,5.881,855.884
